#,Dir,IP,Port,Peer info,Message
0,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search 10.4.9.132:5161 F?T?0?1?stiens
1,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search Hub:terror F?T?0?9?TTH:GDI5FPNHVR3PQKJ43TV4JINGCOX5SL4ENBD6VCQ
2,In,10.4.5.10,500,Hub <10.4.5.10:500>,$Search 10.3.12.61:1394 F?T?0?9?TTH:75KRIT7GSP7JA5TJFRLLOAKCVGZELQUVJALFGRQ
3,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search 10.3.12.61:1394 F?T?0?9?TTH:75KRIT7GSP7JA5TJFRLLOAKCVGZELQUVJALFGRQ
4,In,10.4.5.10,500,Hub <10.4.5.10:500>,$Search 10.4.6.120:59991 F?T?0?9?TTH:XD3OTVN7K4DDOHHYJ45CEV2BFEUPSJ5TAL5QGSY
5,In,10.4.5.10,500,Hub <10.4.5.10:500>,$Search Hub:Apple_Intern F?T?0?9?TTH:OBBPQ3YWCUCOIX4QPRLT2YIKODVMD7FC7UTCKGI
6,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search 10.4.6.120:59991 F?T?0?9?TTH:XD3OTVN7K4DDOHHYJ45CEV2BFEUPSJ5TAL5QGSY
7,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search Hub:Apple_Intern F?T?0?9?TTH:OBBPQ3YWCUCOIX4QPRLT2YIKODVMD7FC7UTCKGI
8,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search 10.4.11.98:3000 F?T?0?1?graham$norton$show$
9,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search Hub:encyclopedia F?T?0?9?TTH:63QVJZV7F7Y4QJ7Y6WBK3GBGKP4454KTDJZJGKQ
10,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search Hub:BhootMaareChoot F?T?0?9?TTH:CVHU2NIQ5SSSCHRZKHSFKTSCKQBJJYMLGOMUABY
11,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search Hub:yalayolo F?T?0?9?TTH:U32KFWTKGI723LFFHT7EGTJZJZPEC74JN4ZEYDI
12,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search Hub:terror F?T?0?9?TTH:QQ4G3QLJSER6XLELMILY6TJB2HVKKR2PGGR4V5I
13,In,10.4.5.10,500,Hub <10.4.5.10:500>,$Search 10.4.9.127:55387 F?T?0?9?TTH:6H6BUIBS3HR5WPTYXXERXAJXRFH6ZKXP6KNS7SQ
14,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search 10.4.9.127:55387 F?T?0?9?TTH:6H6BUIBS3HR5WPTYXXERXAJXRFH6ZKXP6KNS7SQ
15,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search Hub:the_jedi_life F?T?0?9?TTH:JKSIWWA3K6ATSKFNDX546KH6S36TUQMXXLKXIJA
16,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search 10.3.10.107:7255 F?T?0?9?TTH:IAKFXNWD4AVKYV6KRXJWRIQPDOC6KLVZFUS74WY
17,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search Hub:lolmknssk F?T?0?9?TTH:FWFW63EEKWFCCADKT6PAKXKSBBUPERX7LBN3BLQ
18,In,10.4.5.10,500,Hub <10.4.5.10:500>,$Search 10.3.10.107:7255 F?T?0?9?TTH:IAKFXNWD4AVKYV6KRXJWRIQPDOC6KLVZFUS74WY
19,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search Hub:crespo F?T?0?9?TTH:JPRXY7LUKCRAJFLMPNUBLAJPCMSOS2PFUSMAARY
20,In,10.4.5.10,500,Hub <10.4.5.10:500>,$Search Hub:crespo F?T?0?9?TTH:JPRXY7LUKCRAJFLMPNUBLAJPCMSOS2PFUSMAARY
21,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search Hub:hamme F?T?0?9?TTH:SRWC4PDBZ77U4K6PYOWBLNE6D7X4TU3EDR3DMSQ
22,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search Hub:ksoze F?T?0?9?TTH:QE7VDE42NR6LMIHY7M7TMUYR3XFIMFROIP3CQYQ
23,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search 10.4.9.132:5161 F?T?0?1?stein
